variable,variable_label,value_labels,r_class,missing_n,missing_percent,unique_n
v045a,language of questionnaire,english = 1 | hausa = 2 | yoruba = 3 | igbo = 4,"haven_labelled, vctrs_vctr, double",0,0,4
v045b,language of interview,english = 1 | hausa = 2 | yoruba = 3 | igbo = 4,"haven_labelled, vctrs_vctr, double",0,0,4
v045c,native language of respondent,english = 1 | hausa = 2 | yoruba = 3 | igbo = 4 | other language = 6,"haven_labelled, vctrs_vctr, double",0,0,5
v046,translator used,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v047,team number,NA,numeric,0,0,37
v048,team supervisor,NA,numeric,0,0,37
v101,zone (codes are as per sample frame),north west = 1 | north east = 2 | north central = 3 | south east = 4 | south south = 5 | south west = 6,"haven_labelled, vctrs_vctr, double",0,0,6
v102,type of place of residence,urban = 1 | rural = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v103,na - childhood place of residence,"capital, large city = 0 | city = 1 | town = 2 | countryside = 3 | abroad = 4","haven_labelled, vctrs_vctr, double",17986,100,0
v104,years lived in place of residence,always = 95 | visitor = 96 | inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,46
v105,type of place of previous residence,"capital, large city = 0 | city = 1 | town = 2 | countryside = 3 | abroad = 4","haven_labelled, vctrs_vctr, double",10260,57.04436784165462,3
v105a,zone of previous residence,north central = 1 | north east = 2 | north west = 3 | south east = 4 | south south = 5 | south west = 6 | abroad = 96,"haven_labelled, vctrs_vctr, double",10260,57.04436784165462,7
v106,highest educational level,no education = 0 | primary = 1 | secondary = 2 | higher = 3 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,4
v107,highest year of education,no years completed at level v106 = 0,"haven_labelled, vctrs_vctr, double",7315,40.670521516735235,9
v113,source of drinking water,piped water = 10 | piped into dwelling = 11 | piped to yard/plot = 12 | piped to neighbor = 13 | public tap/standpipe = 14 | tube well water = 20 | tube well or borehole = 21 | dug well (open/protected) = 30 | protected well = 31 | unprotected well = 32 | surface from spring = 40 | protected spring = 41 | unprotected spring = 42 | river/dam/lake/ponds/stream/canal/irrigation channel = 43 | rainwater = 51 | tanker truck = 61 | cart with small tank = 62 | bottled water = 71 | sachet water = 72 | other = 96 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,17
v115,time to get to water source,on premises = 996 | not a de jure resident = 997 | don't know = 998,"haven_labelled, vctrs_vctr, double",0,0,82
v116,type of toilet facility,"flush toilet = 10 | flush to piped sewer system = 11 | flush to septic tank = 12 | flush to pit latrine = 13 | flush to somewhere else = 14 | flush, don't know where = 15 | pit toilet latrine = 20 | ventilated improved pit latrine (vip) = 21 | pit latrine with slab = 22 | pit latrine without slab/open pit = 23 | no facility = 30 | no facility/bush/field = 31 | composting toilet = 41 | bucket toilet = 42 | hanging toilet/latrine = 43 | other = 96 | not a de jure resident = 97","haven_labelled, vctrs_vctr, double",0,0,14
v119,household has: electricity,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v120,household has: radio,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v121,household has: television,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v122,household has: refrigerator,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v123,household has: bicycle,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v124,household has: motorcycle/scooter,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v125,household has: car/truck,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v127,main floor material,---natural floor--- = 10 | earth/sand = 11 | dung = 12 | ---rudimentary floor--- = 20 | wood planks = 21 | palm/bamboo = 22 | ---finished floor--- = 30 | parquet or polished wood = 31 | vinyl or asphalt strips = 32 | ceramic tiles = 33 | cement = 34 | carpet = 35 | other = 96 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,11
v128,main wall material,---natural walls--- = 10 | no walls = 11 | cane/palm/trunks = 12 | dirt = 13 | mud = 14 | ---rudimentary walls--- = 20 | bamboo with mud = 21 | stone with mud = 22 | uncovered adobe = 23 | plywood = 24 | cardboard = 25 | reused wood = 26 | ---finished walls--- = 30 | cement = 31 | stone with lime/cement = 32 | bricks = 33 | cement blocks = 34 | covered adobe = 35 | wood planks/shingles = 36 | other = 96 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,18
v129,main roof material,---natural roofing--- = 10 | no roof = 11 | thatch/palm leaf = 12 | mud = 13 | ---rudimentary roofing--- = 20 | rustic mat = 21 | palm/bamboo = 22 | wood planks = 23 | cardboard = 24 | ---finished roofing--- = 30 | metal/zinc = 31 | wood = 32 | calamine/cement fiber = 33 | ceramic tiles = 34 | cement = 35 | roofing shingles = 36 | other = 96 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,15
v130,religion,catholic = 1 | other christian = 2 | islam = 3 | traditionalist = 4 | other = 96,"haven_labelled, vctrs_vctr, double",0,0,5
v131,ethnicity,abua = 1 | adra/adarawa = 2 | adun = 3 | afcabeya = 4 | afemai = 5 | afizire = 6 | agatu = 7 | agbassa = 8 | agbor = 9 | afo = 10 | ajowa = 11 | akpa = 12 | akwai = 13 | akye = 14 | alago = 15 | amamong = 16 | amo = 17 | ana = 18 | anaguta = 19 | ankwai = 20 | annang = 21 | arab = 22 | arabo = 23 | arbar = 24 | arugu = 25 | aten/atam = 26 | attakar = 27 | auchi = 28 | aulliminden = 29 | awo = 30 | ayetoro gbede = 31 | badarare = 32 | bade/badawe = 33 | bafeke = 34 | bagathiya = 35 | baggara = 36 | bagunge/badagire = 37 | bahnake = 38 | baji/biji = 39 | bajju = 40 | bambaro = 41 | bambuka = 42 | bandawa = 43 | banguji = 44 | bankalawa = 45 | bchama = 46 | barabaci = 47 | barawa = 48 | bargawa = 49 | bassa = 50 | bekworas = 51 | berom = 53 | bini/edo = 54 | bogom = 55 | boiyawa/bozaya = 56 | bolawa/bolewa = 57 | buduma = 59 | buko = 60 | bura/babur = 61 | buzu = 62 | byazhi = 63 | calabar = 64 | chala = 65 | chamba = 66 | chiba = 67 | chibok(g) = 68 | chip = 69 | dadiya = 70 | badakare/dakarkari = 71 | dakka/doka = 72 | dangula = 73 | daurawa/dagarawa = 74 | defaka = 75 | degima = 76 | delta ibo = 77 | dibo = 78 | diguza = 79 | djerma = 80 | dmoko = 81 | dolchi = 82 | ebira/igbira = 83 | ebu = 84 | efik = 85 | egba = 86 | egbado = 87 | eggon = 88 | egun = 89 | eket = 90 | ekoi = 91 | ekpeye/afisa/epie = 92 | ekulu = 94 | eleme = 95 | emu = 96 | esan = 97 | etina = 98 | etsako = 99 | etulo = 100 | hadejawa = 101 | fanso = 102 | femawa = 103 | fer = 104 | filiya/fali = 105 | fon = 106 | foron = 107 | french = 108 | fulani = 109 | gamaku = 110 | gamaru = 111 | gamuni = 112 | gana gana = 113 | ganawuri = 114 | gbaju/gbagi = 115 | gede/gude/gai = 116 | gerawa = 117 | gizmawa = 118 | glauda = 119 | gmenchi = 120 | gomo/gamoyaya = 121 | gobiri/gobirawa/bogobiri = 122 | gujjurawa = 123 | guemai = 124 | gumbarawa = 125 | gunganchi = 126 | gwandara = 127 | gwantu = 128 | hankwe = 129 | hausa = 130 | higgi = 131 | ibariba = 132 | ibibio = 133 | ichen = 134 | idanre = 135 | idoma = 136 | igala = 137 | igbo/ibo = 138 | igede = 139 | ijaw/izon = 140 | ijede = 141 | ijeme = 142 | ika = 143 | ikajo = 144 | ikara = 145 | ikpeshi = 146 | ikpide = 147 | ikulu = 148 | ikwere = 149 | ilaje = 150 | irigwe = 151 | ishan = 152 | isoko = 153 | itsekiri = 154 | jaba = 155 | jajiri = 156 | jakatoe = 157 | jaku = 158 | jara = 159 | jarawa = 160 | jibu = 162 | jonjo = 163 | jukun = 164 | kabawa = 165 | kadara = 166 | kagoma = 167 | kagoro = 168 | kaka = 169 | kakanda = 170 | kamantam = 171 | kambari = 172 | kambu/kangu = 173 | kamuku = 174 | kanakuru = 175 | kanawa = 176 | kaninko = 177 | kantanawa = 178 | kanuri/beriberi = 179 | manga = 180 | karekare = 181 | kataf/atyap = 182 | kento = 183 | kibaku = 184 | kilba = 185 | kirdi = 186 | kodki = 187 | kofyar = 188 | kona = 189 | koro = 190 | koto = 191 | kuenuem = 192 | kumbo = 193 | kunkawa/kawa = 194 | kurama = 195 | kuteb = 196 | kuturm = 197 | kwale/ukwuani = 198 | kwanzo = 199 | lagelu = 200 | lantang = 201 | lemoro = 202 | loh = 203 | lunguda = 204 | maba/mbadowa = 205 | mada = 206 | mafa/maka/maga = 207 | mambila = 208 | mandara = 209 | mangus/manju = 210 | marghi/mangi = 211 | mbwa = 212 | mingo = 213 | mirnang = 214 | montor = 215 | mtchiga/michika = 216 | mumuye = 217 | munga = 218 | mupung = 219 | mushere = 220 | mwagavol = 221 | naiawum = 222 | namoen = 223 | ndokwa = 224 | ndola = 225 | ngamo = 226 | ukale = 227 | ngoshe = 228 | nili = 229 | ninnma = 230 | ninzom = 231 | nkoroo = 232 | nnebe = 233 | numana = 234 | nungu = 235 | nunku = 236 | nupe = 237 | obubua = 238 | odu = 239 | ogoja = 240 | ogoni = 241 | ogugu = 242 | okori/ogori = 243 | omele = 244 | ora = 245 | oron = 246 | owan = 247 | owo = 249 | pa'awa = 250 | paburi = 251 | paibun = 252 | panya = 253 | pasama = 254 | pero = 255 | piya = 256 | pyem = 257 | rukuba = 258 | rulere = 259 | rundawa = 260 | sayawa/siyawa = 261 | sekere = 262 | sharawa = 263 | shomo = 264 | shuwa = 265 | somunka = 266 | sullubawa = 267 | sura = 268 | taira = 269 | tangale = 270 | tarok = 272 | tera = 273 | teskwa = 274 | tiguni = 275 | tiv = 276 | tiyari = 277 | tula = 278 | ubaija = 279 | ugbia = 280 | uhionigbe = 281 | ukwuani = 282 | urhobo = 283 | uyo = 284 | uzaurue = 285 | uzeba = 286 | waja = 287 | waka = 288 | wanu = 289 | wari = 290 | warjawa = 291 | wodaabe = 292 | wurkum = 293 | yakurr = 294 | yandang = 295 | yendre = 296 | yonubi = 297 | yoruba = 298 | zabarmawa = 299 | kaje = 301 | igbanko = 302 | okori/ogori = 303 | migili = 304 | gwari = 305 | uru = 306 | okirika = 307 | egi = 308 | ogba = 309 | moroa = 310 | marwa = 311 | toff = 312 | fulfulde = 313 | kabba/okun = 314 | bakabe = 315 | burmanch = 316 | kalabari = 317 | miship = 320 | karimjo = 321 | kwa = 322 | angas = 323 | bobari = 324 | yarimawa = 325 | bakenga = 326 | agazawa = 327 | gwoza = 328 | zalidva = 329 | nyangdang = 330 | ngezim = 331 | hanbagda = 332 | njanyi = 333 | dumak = 334 | kwalla = 335 | yeskwa and mubula = 336 | bile = 337 | offa = 338 | yungur = 339 | pura pura = 340 | rindre = 341 | dukawa = 342 | ningi = 343 | cham = 344 | kamo = 345 | lala = 346 | laru = 347 | lisa = 348 | gaanda = 349 | ezza = 350 | kubasawa. = 351 | gusu = 352 | ikpoma = 353 | buh = 354 | mushere = 355 | chakeem = 356 | jipal = 357 | ugeb = 358 | koma = 359 | verre/kila = 360 | zuru = 361 | honna = 362 | kapsiki = 363 | jere = 364 | gizi yobe = 365 | karekare = 366 | kulere = 367 | beteer = 368 | bashama = 369 | antocha = 370 | baruba/baruntin = 371 | nezou = 372 | dibba = 373 | kanum = 374 | gasawa = 375 | muryan = 376 | bageri = 377 | ahu = 378 | basange = 379 | nakere = 380 | batunu = 381 | sanga = 382 | ohari = 383 | numuro = 384 | tangale = 385 | guruma = 386 | otuwo = 387 | batala = 388 | ogbo = 389 | egbema = 390 | dara = 391 | andoni = 392 | obolo = 393 | pegan = 394 | iyala = 395 | jibawa = 396 | mungaduso = 397 | okobo = 398 | others = 996 | don't know = 998,"haven_labelled, vctrs_vctr, double",0,0,261
v133,education in single years,inconsistent = 97,"haven_labelled, vctrs_vctr, double",0,0,21
v134,na - de facto place of residence,"capital, large city = 0 | small city = 1 | town = 2 | countryside = 3","haven_labelled, vctrs_vctr, double",17986,100,0
v135,usual resident or visitor,usual resident = 1 | visitor = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v136,number of household members (listed),NA,numeric,0,0,29
v137,number of children 5 and under in household (de jure),NA,numeric,0,0,11
v138,number of eligible women in household (de facto),NA,numeric,0,0,9
v139,de jure region of residence,abroad = 0 | north west = 1 | north east = 2 | north central = 3 | south east = 4 | south south = 5 | south west = 6 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,7
v140,de jure type of place of residence,abroad = 0 | urban = 1 | rural = 2 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v141,na - de jure place of residence,"capital, large city = 0 | city = 1 | town = 2 | countryside = 3 | abroad = 4 | not a de jure resident = 7","haven_labelled, vctrs_vctr, double",17848,99.23273657289002,1
v149,educational attainment,no education = 0 | incomplete primary = 1 | complete primary = 2 | incomplete secondary = 3 | complete secondary = 4 | higher = 5,"haven_labelled, vctrs_vctr, double",0,0,6
v150,relationship to household head,head = 1 | wife or husband = 2 | son/daughter = 3 | son/daughter-in-law = 4 | grandchild = 5 | parent = 6 | parent-in-law = 7 | brother/sister = 8 | co-spouse = 9 | other relative = 10 | adopted/foster child = 11 | not related = 12 | niece/nephew by blood = 13 | niece/nephew by marriage = 14 | brother/sister in law = 15 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,14
v151,sex of household head,male = 1 | female = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v152,age of household head,97+ = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,80
v153,household has: telephone (land-line),no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
awfactt,all woman factor - total,NA,numeric,0,0,1
awfactu,all woman factor - urban/rural,NA,numeric,0,0,1
awfactr,all woman factor - regional,NA,numeric,0,0,1
awfacte,all woman factor - educational,NA,numeric,0,0,1
awfactw,all woman factor - wealth index,NA,numeric,0,0,1
v155,literacy,cannot read at all = 0 | able to read only parts of sentence = 1 | able to read whole sentence = 2 | no card with required language = 3 | blind/visually impaired = 4,"haven_labelled, vctrs_vctr, double",0,0,5
v156,na - ever participated in a literacy program outside of primary,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v157,frequency of reading newspaper or magazine,not at all = 0 | less than once a week = 1 | at least once a week = 2 | almost every day = 3,"haven_labelled, vctrs_vctr, double",0,0,3
v158,frequency of listening to radio,not at all = 0 | less than once a week = 1 | at least once a week = 2 | almost every day = 3,"haven_labelled, vctrs_vctr, double",0,0,3
v159,frequency of watching television,not at all = 0 | less than once a week = 1 | at least once a week = 2 | almost every day = 3,"haven_labelled, vctrs_vctr, double",0,0,3
v160,toilet facilities shared with other households,no = 0 | yes = 1 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",4172,23.195818970310242,3
v161,type of cooking fuel,electricity = 1 | solar energy = 2 | liquefied petroleum gas (lpg)/cooking gas = 3 | piped natural gas = 4 | biogas = 5 | alcohol/ethanol = 6 | gasoline/diesel = 7 | kerosene/paraffin = 8 | coal/lignite = 9 | charcoal = 10 | wood = 11 | straw/shrubs/grass = 12 | agricultural crop = 13 | animal dung/waste = 14 | processed biomass (pellets) or woodchips = 15 | garbage/plastic = 16 | sawdust = 17 | no food cooked in house = 95 | other = 96 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,20
v166,na - result of salt test for iodine,0 ppm (no iodine) = 0 | 7 ppm = 7 | 15 ppm = 15 | 30 ppm = 30 | salt not tested = 994 | no salt = 995 | not a de jure resident = 997,"haven_labelled, vctrs_vctr, double",17986,100,0
v167,na - number of trips in last 12 months,none = 0 | 90+ = 90,"haven_labelled, vctrs_vctr, double",17986,100,0
v168,na - away for more than one month in last 12 months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v169a,owns a mobile telephone,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v169b,last 12 months use mobile telephone for financial transactions,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v169c,is respondent's mobile phone a smart phone,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",7165,39.83653953074614,2
v170,has an account in a bank or other financial institution,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v171a,use of internet,"never = 0 | yes, last 12 months = 1 | yes, before last 12 months = 2 | yes, can't establish when = 3","haven_labelled, vctrs_vctr, double",0,0,3
v171b,frequency of using internet last month,not at all = 0 | less than once a week = 1 | at least once a week = 2 | almost every day = 3,"haven_labelled, vctrs_vctr, double",0,0,4
v172,respondent state of birth,fct-abuja = 1 | benue = 2 | kogi = 3 | kwara = 4 | nasarawa = 5 | niger = 6 | plateau = 7 | adamawa = 8 | bauchi = 9 | borno = 10 | gombe = 11 | taraba = 12 | yobe = 13 | jigawa = 14 | kaduna = 15 | kano = 16 | katsina = 17 | kebbi = 18 | sokoto = 19 | zamfara = 20 | abia = 21 | anambra = 22 | ebonyi = 23 | enugu = 24 | imo = 25 | akwa ibom = 26 | bayelsa = 27 | cross river = 28 | delta = 29 | edo = 30 | rivers = 31 | ekiti = 32 | lagos = 33 | ogun = 34 | ondo = 35 | osun = 36 | oyo = 37 | outside of nigeria = 96,"haven_labelled, vctrs_vctr, double",0,0,38
v173,respondent country of birth,algeria = 2 | angola = 3 | benin = 4 | botswana = 5 | burkina faso = 6 | burundi = 7 | cabo verde = 8 | cameroon = 9 | central african republic (car) = 10 | chad = 11 | comoros = 12 | democratic republic of the congo = 13 | republic of the congo = 14 | cote d'ivoire = 15 | djibouti = 16 | egypt = 17 | equatorial guinea = 18 | eritrea = 19 | eswatini = 20 | ethiopia = 21 | gabon = 22 | gambia = 23 | ghana = 24 | guinea = 25 | guinea-bissau = 26 | kenya = 27 | lesotho = 28 | liberia = 29 | libya = 30 | madagascar = 31 | malawi = 32 | mali = 33 | mauritania = 34 | morocco = 35 | mozambique = 36 | namibia = 37 | niger = 38 | rwanda = 39 | sao tome and principe = 40 | senegal = 41 | seychelles = 42 | sierra leone = 43 | somalia = 44 | south africa = 45 | south sudan = 46 | sudan = 47 | tanzania = 48 | togo = 49 | tunisia = 50 | uganda = 51 | zambia = 52 | zimbabwe = 53 | other country = 96,"haven_labelled, vctrs_vctr, double",17843,99.20493717335705,12
v174m,month move to current place of residence,don't know month = 98,"haven_labelled, vctrs_vctr, double",15315,85.14956076948738,13
v174y,year move to current place of residence,don't know year = 9998,"haven_labelled, vctrs_vctr, double",15315,85.14956076948738,7
v175,reason for moving to current place of residence,employment = 1 | education/training = 2 | marriage formation = 3 | family reunification/other family-related reason = 4 | forced displacement = 5 | other = 96,"haven_labelled, vctrs_vctr, double",10260,57.04436784165462,6
v176,self reported health status,very good = 1 | good = 2 | moderate = 3 | bad = 4 | very bad = 5,"haven_labelled, vctrs_vctr, double",0,0,5
v177,money put/taken from bank account last 12 months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",12002,66.72967863894141,2
v190,wealth index combined,poorest = 1 | poorer = 2 | middle = 3 | richer = 4 | richest = 5,"haven_labelled, vctrs_vctr, double",0,0,5
v191,wealth index factor score combined (5 decimals),NA,numeric,0,0,13433
v190a,wealth index for urban/rural,poorest = 1 | poorer = 2 | middle = 3 | richer = 4 | richest = 5,"haven_labelled, vctrs_vctr, double",0,0,5
v191a,wealth index factor score for urban/rural (5 decimals),NA,numeric,0,0,13394
ml101,type of mosquito bed net(s) slept under last night,no net = 0 | only treated nets = 1 | both treated and untreated nets = 2 | only untreated nets = 3,"haven_labelled, vctrs_vctr, double",0,0,4
v201,total children ever born,NA,numeric,0,0,17
v202,sons at home,NA,numeric,0,0,10
v203,daughters at home,NA,numeric,0,0,9
v204,sons elsewhere,NA,numeric,0,0,7
v205,daughters elsewhere,NA,numeric,0,0,7
v206,sons who have died,NA,numeric,0,0,9
v207,daughters who have died,NA,numeric,0,0,7
v208,births in last five years,no births = 0,"haven_labelled, vctrs_vctr, double",0,0,7
v209,births in past year,no births = 0,"haven_labelled, vctrs_vctr, double",0,0,4
v210,births in month of interview,NA,numeric,0,0,3
v211,date of first birth (cmc),NA,numeric,515,2.863338151895919,378
v212,age of respondent at 1st birth,NA,numeric,515,2.863338151895919,35
v213,currently pregnant,no or unsure = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v214,duration of current pregnancy in months,NA,numeric,16190,90.01445568775715,10
v214a,duration of current pregnancy original,weeks: 1 = 101 | weeks: number missing = 199 | months: 1 = 201 | months: number missing = 299,"haven_labelled, vctrs_vctr, double",16190,90.01445568775715,21
v215,time since last menstrual period,day of interview = 100 | days: 1 = 101 | days: number missing = 199 | weeks: 1 = 201 | weeks: number missing = 299 | months: 1 = 301 | months: number missing = 399 | years: 1 = 401 | years: number missing = 499 | in menopause/had hysterectomy = 994 | before last pregnancy = 995 | never menstruated = 996 | inconsistent = 997 | don't know = 998,"haven_labelled, vctrs_vctr, double",0,0,113
v216,menstruated in last six weeks,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
